category_code,revenue,purchases
accessories.bag,25030.95,628
accessories.umbrella,356.72,14
accessories.wallet,8501.46,178
apparel.belt,559.58,7
apparel.costume,14407.45,144
apparel.dress,169.89,2
apparel.jeans,2887.13,67
apparel.scarf,165.49,7
apparel.shirt,1124.86,22
apparel.shoes,128991.40,1434
apparel.shoes.ballet_shoes,124.59,5
apparel.shoes.keds,90023.11,1220
apparel.shoes.moccasins,2443.34,36
apparel.shoes.sandals,214.65,6
apparel.shoes.slipons,298.07,6
apparel.shorts,32.18,2
apparel.skirt,18.02,1
apparel.sock,833.53,10
apparel.trousers,789.82,15
apparel.tshirt,1034.81,26
apparel.underwear,736.62,34
appliances.environment.air_conditioner,81929.73,201
appliances.environment.air_heater,59405.35,1431
appliances.environment.fan,371.52,21
appliances.environment.vacuum,870069.18,6352
appliances.environment.water_heater,151679.57,1457
appliances.iron,117218.70,1957
appliances.ironing_board,14066.96,343
appliances.kitchen.blender,89710.31,1569
appliances.kitchen.coffee_grinder,1826.25,69
appliances.kitchen.coffee_machine,69872.50,290
appliances.kitchen.dishwasher,137196.50,334
appliances.kitchen.grill,57619.37,361
appliances.kitchen.hob,101600.46,487
appliances.kitchen.hood,49534.54,434
appliances.kitchen.juicer,26596.94,288
appliances.kitchen.kettle,54417.64,1601
appliances.kitchen.meat_grinder,102904.99,1323
appliances.kitchen.microwave,139890.68,1814
appliances.kitchen.mixer,40745.87,636
appliances.kitchen.oven,150877.11,1220
appliances.kitchen.refrigerators,2017476.55,5936
appliances.kitchen.steam_cooker,6456.74,53
appliances.kitchen.toster,13187.04,279
appliances.kitchen.washer,2331215.46,8122
appliances.personal.hair_cutter,20643.79,542
appliances.personal.massager,3068.27,61
appliances.personal.scales,12736.29,689
appliances.sewing_machine,212993.44,970
auto.accessories.alarm,210154.32,1541
auto.accessories.compressor,42230.36,326
auto.accessories.parktronic,2455.48,36
auto.accessories.player,336896.52,3053
auto.accessories.radar,25176.41,302
auto.accessories.videoregister,180842.62,1572
auto.accessories.winch,4807.70,10
computers.components.cooler,13818.47,258
computers.components.cpu,24081.50,110
computers.components.hdd,36172.03,565
computers.components.memory,15448.47,301
computers.components.motherboard,23607.84,167
computers.components.power_supply,6369.19,118
computers.components.videocards,146464.55,503
computers.desktop,584957.38,1623
computers.ebooks,23394.32,146
computers.notebook,4801761.67,8396
computers.peripherals.camera,2766.66,32
computers.peripherals.keyboard,13254.62,288
computers.peripherals.monitor,129778.39,572
computers.peripherals.mouse,15981.56,577
computers.peripherals.printer,260268.90,1359
construction.components.faucet,7596.04,146
construction.tools.drill,118966.63,1422
construction.tools.generator,107456.11,672
construction.tools.light,1332.33,55
construction.tools.painting,9341.19,71
construction.tools.pump,14239.86,152
construction.tools.saw,127105.99,877
construction.tools.welding,90064.65,534
country_yard.cultivator,7284.70,21
country_yard.lawn_mower,4792.16,30
electronics.audio.acoustic,111597.99,511
electronics.audio.headphone,1846843.61,15751
electronics.audio.microphone,20010.60,226
electronics.audio.music_tools.piano,39008.87,207
electronics.audio.subwoofer,184560.07,2105
electronics.camera.photo,72256.33,116
electronics.camera.video,74289.39,172
electronics.clocks,2568843.62,9635
electronics.smartphone,81186216.59,174511
electronics.tablet,903842.74,2930
electronics.telephone,64160.02,1934
electronics.video.projector,18927.98,37
electronics.video.tv,4228740.89,10837
furniture.bathroom.bath,5151.04,37
furniture.bathroom.toilet,6497.80,98
furniture.bedroom.bed,164033.59,905
furniture.bedroom.blanket,3100.51,91
furniture.bedroom.pillow,2071.66,83
furniture.kitchen.chair,41330.14,565
furniture.kitchen.table,39364.17,276
furniture.living_room.cabinet,193340.15,769
furniture.living_room.chair,39576.23,414
furniture.living_room.sofa,228755.94,437
furniture.universal.light,2541.85,35
kids.carriage,195389.71,1220
kids.dolls,7195.95,190
kids.fmcg.diapers,5353.59,398
kids.skates,120313.63,430
kids.swing,22875.23,169
kids.toys,17976.56,535
medicine.tools.tonometer,6667.28,149
sport.bicycle,131172.57,504
sport.ski,1296.29,4
sport.snowboard,1008.00,4
sport.tennis,43.03,1
sport.trainer,49990.42,142
stationery.cartrige,807.60,64
unknown,12364957.29,93001
